Category,Clue,Correct Response,Answered Correctly,Triple Stumper,All Wrong Answers,Clue Value,Daily Double,Selection Order,Episode,Date First Aired,Round
23,"It begins, ""The Lord is my shepherd, I shall not want""",Psalm 23,Lauren Hirs,False,False,$200,False,13,Show #5056,"Monday, September 11, 2006",Jeopardy! Round
Years,Wall Street laid an egg in October of this Roaring '20s year when the stock market crashed,\'29,Dan Cordova,False,False,$200,False,23,Show #5056,"Monday, September 11, 2006",Jeopardy! Round
Name The Nfl Coaching Legend,"Nicknamed ""Papa Bear"", he not only coached the Chicago Bears for 40 seasons, he played baseball for the Yankees",George Halas,Dan Cordova,False,False,$200,False,1,Show #5056,"Monday, September 11, 2006",Jeopardy! Round
State Insects,"In Illinois it's good to be the king, or at least this butterfly, the state insect",the monarch,Lauren Hirs,False,False,$200,False,19,Show #5056,"Monday, September 11, 2006",Jeopardy! Round
____ & ____ Brands,You can be a Chunk Spelunker for this ice cream,Ben & Jerry\'s,Lauren Hirs,False,False,$200,False,3,Show #5056,"Monday, September 11, 2006",Jeopardy! Round
Weather Words,"Traditionally, a dense one of these is compared to ""pea soup""",fog,Brad Jeffcoat,False,False,$200,False,8,Show #5056,"Monday, September 11, 2006",Jeopardy! Round
23,23 different pilgrims tell their stories in this late-14th century classic,the Canterbury Tales,Dan Cordova,False,False,$400,False,14,Show #5056,"Monday, September 11, 2006",Jeopardy! Round
Years,"Following his resignation in this year, we didn't have Richard Nixon to kick around anymore",1974,Dan Cordova,False,False,$400,False,24,Show #5056,"Monday, September 11, 2006",Jeopardy! Round
Name The Nfl Coaching Legend,He was the first coach to win an NCAA football championship & a Super Bowl,Jimmy Johnson,Lauren Hirs,False,False,$400,False,2,Show #5056,"Monday, September 11, 2006",Jeopardy! Round
State Insects,"It might want to fly away home to Massachusetts, where it's the state insect",the ladybug,,True,False,$400,False,20,Show #5056,"Monday, September 11, 2006",Jeopardy! Round
____ & ____ Brands,The logo of this brand is seen here,Arm & Hammer,Brad Jeffcoat,False,False,$400,False,4,Show #5056,"Monday, September 11, 2006",Jeopardy! Round
Weather Words,This 6-letter word for a tornado's shape is also a kitchen utensil,funnel,Lauren Hirs,False,False,$400,False,9,Show #5056,"Monday, September 11, 2006",Jeopardy! Round
23,"Legend says in 490 B.C., Pheidippides ran about 23 miles from this plain to Athens to announce a victory",Marathon,Dan Cordova,False,False,$600,False,15,Show #5056,"Monday, September 11, 2006",Jeopardy! Round
Years,The U.S. officially entered World War I in April of this year,1917,Brad Jeffcoat,False,False,$600,False,25,Show #5056,"Monday, September 11, 2006",Jeopardy! Round
Name The Nfl Coaching Legend,He & son Dave are the only father & son coaches to coach against each other as head coaches in the NFL,Don Shula,Brad Jeffcoat,False,False,$600,False,5,Show #5056,"Monday, September 11, 2006",Jeopardy! Round
State Insects,It wasn't until 1983 that Utah finally made this its state insect,the honeybee,Lauren Hirs,False,False,$600,False,28,Show #5056,"Monday, September 11, 2006",Jeopardy! Round
____ & ____ Brands,"It calls itself ""pure cane sugar from Hawaii""",C&H,Dan Cordova,False,False,$600,False,16,Show #5056,"Monday, September 11, 2006",Jeopardy! Round
Weather Words,"In the loose sense, it's any weather vane, but specifically it's one with a rooster on it",a weathercock,,True,False,$600,False,10,Show #5056,"Monday, September 11, 2006",Jeopardy! Round
23,"The classical form of this language used only 23 letters; J, U & W were added at a later date",Latin,Lauren Hirs,False,False,$800,False,21,Show #5056,"Monday, September 11, 2006",Jeopardy! Round
Years,The first Summer Olympics broadcast in color were held in Mexico City in this year,1968,Brad Jeffcoat,False,False,$800,False,26,Show #5056,"Monday, September 11, 2006",Jeopardy! Round
Name The Nfl Coaching Legend,The son of this pro football Hall of Famer is a U.S. senator,George Allen,Brad Jeffcoat,False,False,$800,False,6,Show #5056,"Monday, September 11, 2006",Jeopardy! Round
State Insects,"Alaska's state insect is the ""four spot skimmer"" this, so keep it away from St. George",the dragonfly,Brad Jeffcoat,False,False,$800,False,29,Show #5056,"Monday, September 11, 2006",Jeopardy! Round
____ & ____ Brands,This Scottish Whisky traces its roots to Italian distiller Giacomo Justerini,J&B,Dan Cordova,False,False,$800,False,17,Show #5056,"Monday, September 11, 2006",Jeopardy! Round
