Category,Clue,Correct Response,Answered Correctly,Triple Stumper,All Wrong Answers,Clue Value,Daily Double,Selection Order,Episode,Date First Aired,Round
Facts & Figures,"Now over 3 million, the population of this west coast U.S. city in 1850 was only 1610",Los Angeles,Phyllis Rosenthal,False,False,$100,False,13,Show #686,"Monday, September 7, 1987",Jeopardy! Round
"Starts With ""G""",Avarice,greed,Michael Seiler,False,False,$100,False,8,Show #686,"Monday, September 7, 1987",Jeopardy! Round
Country Music Trivia,"Tho Loretta Lynn was a coal miner's daughter, she was named for this star of ""The Farmer's Daughter""",Loretta Young,Phyllis Rosenthal,False,False,$100,False,22,Show #686,"Monday, September 7, 1987",Jeopardy! Round
U.S. Military,Service branch now responsible for all major icebreaking for U.S. armed forces,the Coast Guard,Phyllis Rosenthal,False,False,$100,False,7,Show #686,"Monday, September 7, 1987",Jeopardy! Round
Poetry,"Robert Louis Stevenson said it ""goes in & out with me""",his shadow,,True,False,$100,False,1,Show #686,"Monday, September 7, 1987",Jeopardy! Round
"Geographical ""Saint""S",The Twin Cities' saintly side,Saint Paul,Michael Seiler,False,False,$100,False,2,Show #686,"Monday, September 7, 1987",Jeopardy! Round
Facts & Figures,"As of Feb. 1987, 355,691 people, down from 596,897, held this Pentagon security clearance rank",Top Secret,Ken Higgins,False,False,$200,False,14,Show #686,"Monday, September 7, 1987",Jeopardy! Round
"Starts With ""G""","An unsanitary cafe, or the soiled utensil they'd expect you to eat with",a greasy spoon,Michael Seiler,False,False,$200,False,9,Show #686,"Monday, September 7, 1987",Jeopardy! Round
Country Music Trivia,"The title of his 1985 autobiography is ""Stuttering Boy""",Mel Tillis,Phyllis Rosenthal,False,False,$200,False,23,Show #686,"Monday, September 7, 1987",Jeopardy! Round
U.S. Military,"It's said at peak strength, U.S. Air Forces made up only about 10% of Allied air power in this war",the First World War,Phyllis Rosenthal,False,False,$200,False,15,Show #686,"Monday, September 7, 1987",Jeopardy! Round
"Geographical ""Saint""S","In Canada, it's the name of a river, a gulf & a seaway",Saint Lawrence,Michael Seiler,False,False,$200,False,3,Show #686,"Monday, September 7, 1987",Jeopardy! Round
Facts & Figures,"USA Today says this ex-""GMA"" host averaged 4.3 ""Oh, goshes"" per broadcast",David Hartman,Phyllis Rosenthal,False,False,$300,False,19,Show #686,"Monday, September 7, 1987",Jeopardy! Round
"Starts With ""G""",Avian term for the number zero,a goose egg,Phyllis Rosenthal,False,False,$300,False,10,Show #686,"Monday, September 7, 1987",Jeopardy! Round
Country Music Trivia,"In 1973, 10 years after her death, she became 1st female solo artist elected to Country Hall of Fame",Patsy Cline,Ken Higgins,False,False,$300,False,24,Show #686,"Monday, September 7, 1987",Jeopardy! Round
U.S. Military,"Until 1890 when these vessels came into prominence, the Navy had consisted mainly of cruisers",battleships,Ken Higgins,False,False,$300,False,16,Show #686,"Monday, September 7, 1987",Jeopardy! Round
"Geographical ""Saint""S","Columbus named this Virgin Island Santa Cruz, but it's now called this, which means the same thing",Saint Croix,Michael Seiler,False,False,$300,False,4,Show #686,"Monday, September 7, 1987",Jeopardy! Round
Facts & Figures,"At 83%, it's the reason men & women gave most often when asked why they got married",because they were in love,Phyllis Rosenthal,False,False,$400,False,20,Show #686,"Monday, September 7, 1987",Jeopardy! Round
"Starts With ""G""",The inflammation of this firm connective tissue is called gingivitis,the gums,Phyllis Rosenthal,False,False,$400,False,11,Show #686,"Monday, September 7, 1987",Jeopardy! Round
Country Music Trivia,"In 1980, this singer found his 1st national hit while ""Lookin' For Love""",Johnny Lee,,True,False,$400,False,25,Show #686,"Monday, September 7, 1987",Jeopardy! Round
U.S. Military,"San Francisco headquarters of the 6th Army, it's been a military reservation since 1776",the Presidio,Phyllis Rosenthal,False,False,$400,False,17,Show #686,"Monday, September 7, 1987",Jeopardy! Round
"Geographical ""Saint""S",You might go to this resort in Cornwall to meet a man with 7 wives,Saint Ives,Phyllis Rosenthal,False,False,$400,False,5,Show #686,"Monday, September 7, 1987",Jeopardy! Round
Facts & Figures,"In 1986, this kitchen appliance costing only 5 books was S&H Green Stamps' most popular item",an electric can opener,,True,False,$500,False,21,Show #686,"Monday, September 7, 1987",Jeopardy! Round
"Starts With ""G""","Even bad wives' surnames were once preceded by this word, short for ""goodwife""",goody,Michael Seiler,False,False,$500,False,12,Show #686,"Monday, September 7, 1987",Jeopardy! Round
Country Music Trivia,"2 of the 3 female superstars featured on the 1987 album ""Trio""",Linda Ronstadt & Dolly Parton (& Emmylou Harris),Ken Higgins,False,False,$350,True,26,Show #686,"Monday, September 7, 1987",Jeopardy! Round
U.S. Military,"Used since 1806, its ""Commandant's House"" is oldest continuous official residence in Washington",the Marine Corps,,True,False,$500,False,18,Show #686,"Monday, September 7, 1987",Jeopardy! Round
"Geographical ""Saint""S","This city was the site of the 1st trial of the Dred Scott case, in 1847",Saint Louis (Missouri),Ken Higgins,False,False,$500,False,6,Show #686,"Monday, September 7, 1987",Jeopardy! Round
Presidents,"While no presidents have been named Smith, 2 have had this name, USA's 2nd-most-common surname",Johnson,Ken Higgins,False,False,$200,False,17,Show #686,"Monday, September 7, 1987",Double Jeopardy! Round
Indians,"The name of this cooked mix of lima beans & corn is from the Narraganset ""msickquatash"", ""ear of corn""",succotash,Ken Higgins,False,False,$200,False,1,Show #686,"Monday, September 7, 1987",Double Jeopardy! Round
Shakespeare On Broadway,"Laurence Olivier & Vivien Leigh starred in 1951 as both Shaw's ""Caesar & Cleopatra"" & this duo",Anthony & Cleopatra,Phyllis Rosenthal,False,False,$200,False,3,Show #686,"Monday, September 7, 1987",Double Jeopardy! Round
Biology,"Distinguishing color of chlorophyta, 1 of 3 major groups of algae",green,Michael Seiler,False,False,$200,False,7,Show #686,"Monday, September 7, 1987",Double Jeopardy! Round
England,"This takes place at Buckingham Palace at 11:30 a.m., whether the Queen is in or out",changing of the guard,Phyllis Rosenthal,False,False,$200,False,15,Show #686,"Monday, September 7, 1987",Double Jeopardy! Round
Celebrity Jeopardy!,"I wrote for Will Rogers & 5 presidents but am best known as Buddy Sorrell on ""Dick van Dyke""",Morey Amsterdam,Phyllis Rosenthal,False,False,$200,False,23,Show #686,"Monday, September 7, 1987",Double Jeopardy! Round
Presidents,"While President Lincoln gave 1 in 1863, Pres. Eisenhower had 1 from 1951 until his death",a Gettysburg Address,Phyllis Rosenthal,False,False,$400,True,19,Show #686,"Monday, September 7, 1987",Double Jeopardy! Round
Indians,"For Plains tribes this had a hard sole & soft upper, for eastern tribes, a soft sole & soft upper",a moccasin,Phyllis Rosenthal,False,False,$400,False,2,Show #686,"Monday, September 7, 1987",Double Jeopardy! Round
Shakespeare On Broadway,"Cole Porter musical based on ""The Taming of the Shrew""","Kiss Me, Kate",Ken Higgins,False,False,$400,False,4,Show #686,"Monday, September 7, 1987",Double Jeopardy! Round
Biology,A chromosome map identifies these units & what part of the organism they control,genes,Michael Seiler,False,False,$400,False,8,Show #686,"Monday, September 7, 1987",Double Jeopardy! Round
England,"In 1802, she left France along with her 2 sons & collection of wax models",Madame Tussaud,Phyllis Rosenthal,False,False,$400,False,18,Show #686,"Monday, September 7, 1987",Double Jeopardy! Round
Celebrity Jeopardy!,"""Show of Shows"" star, I started on TV in 1949 in the ""Admiral Broadway Review""",Sid Caesar,Ken Higgins,False,False,$400,False,24,Show #686,"Monday, September 7, 1987",Double Jeopardy! Round
Presidents,"In 1919, FDR wrote ""There could not be a better"" president than this man whom FDR later defeated",(Herbert) Hoover,Phyllis Rosenthal,False,False,$600,False,20,Show #686,"Monday, September 7, 1987",Double Jeopardy! Round
Indians,Cheeshateaumuck was the only Indian graduate of this college in colonial times,Harvard,Phyllis Rosenthal,False,False,$600,False,5,Show #686,"Monday, September 7, 1987",Double Jeopardy! Round
Shakespeare On Broadway,"In 1979, this ""Godfather"" star limped onto Broadway as ""Richard III""",Al Pacino,Michael Seiler,False,False,$600,False,6,Show #686,"Monday, September 7, 1987",Double Jeopardy! Round
Biology,"This book published in 1859 applied theory of natural selection to plant evolution, too",The Origin of the Species,,True,False,$600,False,9,Show #686,"Monday, September 7, 1987",Double Jeopardy! Round
England,She was the only female in the 1976 Montreal Olympics who didn't have to undergo a sex test,Princess Anne,Michael Seiler,False,False,$600,False,25,Show #686,"Monday, September 7, 1987",Double Jeopardy! Round
Presidents,"His last words were ""I know that I am going where Lucy is""",Rutherford B. Hayes,,True,False,$800,False,21,Show #686,"Monday, September 7, 1987",Double Jeopardy! Round
Indians,"The 1825 census showed this ""proud"" nation owned 1277 Black slaves",the Cherokees,Ken Higgins,False,False,$800,False,13,Show #686,"Monday, September 7, 1987",Double Jeopardy! Round
Shakespeare On Broadway,"She played Juliet on Broadway in 1951, 12 years after co-starring in ""Gone with the Wind""",Olivia de Havilland,Ken Higgins,False,False,$800,False,12,Show #686,"Monday, September 7, 1987",Double Jeopardy! Round
Biology,"Term for the ""message"" conducting along a nerve fiber, it's also a type of Isuzu",an impulse,Michael Seiler,False,False,$800,False,10,Show #686,"Monday, September 7, 1987",Double Jeopardy! Round
England,[AUDIO DAILY DOUBLE]English landmark the New Vaudeville Band had a gripe against in the following No. 1 hit:[Instrumental music plays.],Winchester Cathedral,Michael Seiler,False,False,"$1,000",True,26,Show #686,"Monday, September 7, 1987",Double Jeopardy! Round
Presidents,"A relative said that he ""wanted to be the bride at every wedding & the corpse at every funeral""",Teddy Roosevelt,,True,False,$1000,False,22,Show #686,"Monday, September 7, 1987",Double Jeopardy! Round
Indians,"The Ojibwa or Ojibway tribe's name was garbled by Europeans into this, still used today",Chippewa,Ken Higgins,False,False,$1000,False,14,Show #686,"Monday, September 7, 1987",Double Jeopardy! Round
Shakespeare On Broadway,"""Your Own Thing"" was a 1968 rock & roll update of this numerically titled play",Twelfth Night,Phyllis Rosenthal,False,False,$1000,False,16,Show #686,"Monday, September 7, 1987",Double Jeopardy! Round
Biology,"From New Latin for ""in glass"", it describes fertilization which took place in a test tube",in vitro,Phyllis Rosenthal,False,False,$1000,False,11,Show #686,"Monday, September 7, 1987",Double Jeopardy! Round
Feathered Friends,This part of a peacock is about 5 times as long as his body,the tail,Tom Facelle,False,False,$100,False,14,Show #687,"Tuesday, September 8, 1987",Jeopardy! Round
5-Letter Words,The plural of fungus,fungi,Brenda Berstler,False,False,$100,False,18,Show #687,"Tuesday, September 8, 1987",Jeopardy! Round
Famous Morgans,A congressional committee investigated this man in 1912 because of the financial power he was wielding,J.P. Morgan,Brenda Berstler,False,False,$100,False,1,Show #687,"Tuesday, September 8, 1987",Jeopardy! Round
Sports Figures,"In late 19th c. football games it was worth 1 point, then 2,  not 6 like today",a touchdown,Tom Facelle,False,False,$100,False,2,Show #687,"Tuesday, September 8, 1987",Jeopardy! Round
Mississippi,Mississippi's population has a larger proportion of this ethnic group than any other state,black,Ken Higgins,False,False,$100,False,13,Show #687,"Tuesday, September 8, 1987",Jeopardy! Round
Heads,"If you take a head count, you'll find only 2 of this king's 6 wives lost theirs",King Henry VIII,Brenda Berstler,False,False,$100,False,26,Show #687,"Tuesday, September 8, 1987",Jeopardy! Round
Feathered Friends,Auks swim using their feet as a rudder & these as paddles,their wings,Ken Higgins,False,False,$200,False,16,Show #687,"Tuesday, September 8, 1987",Jeopardy! Round
5-Letter Words,"Part of your book, or part of your back",the spine,Tom Facelle,False,False,$200,False,19,Show #687,"Tuesday, September 8, 1987",Jeopardy! Round
Famous Morgans,"Chuck Barris saved the footage of this panelist ripping open her blouse for ""The Gong Show Movie""",Jaye P. Morgan,Brenda Berstler,False,False,$200,False,7,Show #687,"Tuesday, September 8, 1987",Jeopardy! Round
Sports Figures,"For boxing, it usually measures 18-20 ft. square",the ring,Tom Facelle,False,False,$200,False,3,Show #687,"Tuesday, September 8, 1987",Jeopardy! Round
Mississippi,"On Jan. 9, 1861, Mississippi became the 2nd state to do this",secede from the Union,Ken Higgins,False,False,$200,False,15,Show #687,"Tuesday, September 8, 1987",Jeopardy! Round
Heads,"On this Disneyland ride, a headhunter offers 2 of his heads for 1 of yours",the Jungle River Cruise,,True,False,$200,False,12,Show #687,"Tuesday, September 8, 1987",Jeopardy! Round
Feathered Friends,"In winter, a male emperor penguin does not eat for 2 months while he's keeping this warm",the eggs,Brenda Berstler,False,False,$300,False,17,Show #687,"Tuesday, September 8, 1987",Jeopardy! Round
