Category,Clue,Correct Response,Answered Correctly,Triple Stumper,All Wrong Answers,Clue Value,Daily Double,Selection Order,Episode,Date First Aired,Round
Zoology,In the Amazon one species of this flying mammal hangs out (literally) in a tent that it makes out of a big leaf,a bat,Kurt Davies,False,False,$200,False,6,Show #5516,"Monday, September 8, 2008",Jeopardy! Round
Major League Baseball,"On Nov. 1, 2007, after a 12-year run in the Bronx, this Yankees manager became the manager of the Dodgers",(Joe) Torre,Emily Thorsley,False,False,$200,False,11,Show #5516,"Monday, September 8, 2008",Jeopardy! Round
Rhyme Trap,A beret,a cap,Kurt Davies,False,False,$200,False,1,Show #5516,"Monday, September 8, 2008",Jeopardy! Round
25,"At age 25, he won the Raymond Orteig prize of $25,000 for the first solo flight between New York & Paris",Lindbergh,Emily Thorsley,False,False,$200,False,21,Show #5516,"Monday, September 8, 2008",Jeopardy! Round
Years,A House of Representatives vote of 323-89 helped make Hawaii the 50th state in this year,1959,Greg Lindsay,False,False,$200,False,16,Show #5516,"Monday, September 8, 2008",Jeopardy! Round
A Look Back With Jeopardy!,"We made our debut in September of 1984, & so did this spare heir seen here",Prince Harry,Greg Lindsay,False,False,$200,False,26,Show #5516,"Monday, September 8, 2008",Jeopardy! Round
Zoology,"Until adulthood this ""paternal"" spiderlike arachnid molts, a process that takes about 20 minutes",daddy longlegs,Emily Thorsley,False,False,$400,False,7,Show #5516,"Monday, September 8, 2008",Jeopardy! Round
Major League Baseball,In the 1960s only 3 men exceeded 50 home runs in a season: Maris & Mantle in 1961 & this S.F. Giant in 1965,(Willie) Mays,Greg Lindsay,False,False,$400,False,12,Show #5516,"Monday, September 8, 2008",Jeopardy! Round
Rhyme Trap,Sugar maples contain it,sap,Emily Thorsley,False,False,$400,False,2,Show #5516,"Monday, September 8, 2008",Jeopardy! Round
25,"From 1937 to 1949, he successfully defended his heavyweight boxing title a record 25 times",(Joe) Louis,Greg Lindsay,False,False,$400,False,22,Show #5516,"Monday, September 8, 2008",Jeopardy! Round
