Category,Clue,Correct Response,Answered Correctly,Triple Stumper,All Wrong Answers,Clue Value,Daily Double,Selection Order,Episode,Date First Aired,Round
"July 4, 1994","The U.S. Coast Guard intercepted over 3,000 refugees on boats from this country",Haiti,Steve Chernicoff,False,False,$100,False,6,Show #2296,"Monday, September 5, 1994",Jeopardy! Round
Dolls,Mattel has made more than 1 billion pairs of shoes for this doll,Barbie,Steve Chernicoff,False,False,$100,False,16,Show #2296,"Monday, September 5, 1994",Jeopardy! Round
Museums,"This poet's birthplace & museum lie near the Brig O'Doon featured in his poem ""Tam O'Shanter""",Robert Burns,Steve Chernicoff,False,False,$100,False,1,Show #2296,"Monday, September 5, 1994",Jeopardy! Round
Fruits & Nuts,Grapefruits are classified as either white or this color,pink,Steve Chernicoff,False,False,$100,False,11,Show #2296,"Monday, September 5, 1994",Jeopardy! Round
Business & Industry,"This product introduced the slogan ""It's the real thing"" in 1942",Coca-Cola,Steve Chernicoff,False,False,$100,False,24,Show #2296,"Monday, September 5, 1994",Jeopardy! Round
Proverbs,"""Actions speak louder than"" these",words,Steve Chernicoff,False,False,$100,False,17,Show #2296,"Monday, September 5, 1994",Jeopardy! Round
"July 4, 1994",His return to Gaza after a 27-year exile made headlines,Yasser Arafat,Steve Chernicoff,False,False,$200,False,7,Show #2296,"Monday, September 5, 1994",Jeopardy! Round
Dolls,The Jessica dolls sold by this Osmond on QVC are inspired by her own daughter Jessica,Marie Osmond,Steve Chernicoff,False,False,$200,False,22,Show #2296,"Monday, September 5, 1994",Jeopardy! Round
Museums,"You'll find the more than 20-ton Aztec ""sun stone"" in the Museo Nacional de Antropologia in this capital city",Mexico City,Steve Chernicoff,False,False,$200,False,2,Show #2296,"Monday, September 5, 1994",Jeopardy! Round
Fruits & Nuts,"""Mary Ann's Gilligan's Island Cookbook"" features 13 recipes for this kind of cream pie",coconut,Michael Rebain,False,False,$200,False,12,Show #2296,"Monday, September 5, 1994",Jeopardy! Round
Business & Industry,In 1992 this international carrier bought Australian Airlines,Qantas,Steve Chernicoff,False,False,$200,False,25,Show #2296,"Monday, September 5, 1994",Jeopardy! Round
