Category,Clue,Correct Response,Answered Correctly,Triple Stumper,All Wrong Answers,Clue Value,Daily Double,Selection Order,Episode,Date First Aired,Round
Sounds Like Tennis,"Ambrose Bierce defined it as ""a temporary insanity curable by marriage""",love,Matt Amodio,False,False,$200,False,21,Show #8466,"Monday, September 13, 2021",Jeopardy! Round
That'S Canadian Entertainment,"This hip-hopper's love for Toronto is well known, & a 2018 report said about 5% of the city's annual tourism income was due to him",Drake,Gabbie Kim,False,False,$200,False,27,Show #8466,"Monday, September 13, 2021",Jeopardy! Round
Tasty Business,Developer Jef Raskin loved this type of apple so much he named an Apple computer after one,a McIntosh,Amdé Mengistu,False,False,$200,False,24,Show #8466,"Monday, September 13, 2021",Jeopardy! Round
Somebody Wrote That,"Melvina Young wrote the greeting card titled ""The Sisterhood"" for this company's ""Uplifted & Empowered"" collection",Hallmark,Gabbie Kim,False,False,$200,False,28,Show #8466,"Monday, September 13, 2021",Jeopardy! Round
No Man,"This Babylonian, not messing around with his ""code"": ""if a son strike his father, his hands shall be hewn off""",Hammurabi,Gabbie Kim,False,False,$200,False,29,Show #8466,"Monday, September 13, 2021",Jeopardy! Round
Is An Island,The Kanmon Undersea Tunnel connects Kyushu with this largest of the 4 main islands of Japan,Honshu,Gabbie Kim,False,False,$200,False,30,Show #8466,"Monday, September 13, 2021",Jeopardy! Round
Sounds Like Tennis,Spot for a potential earthquake,a fault,Amdé Mengistu,False,False,$400,False,26,Show #8466,"Monday, September 13, 2021",Jeopardy! Round
That'S Canadian Entertainment,"""You Oughta Know"" this Ottawa-born singer imported Flea & Dave Navarro to play on that song",Alanis Morissette,Amdé Mengistu,False,False,$400,False,25,Show #8466,"Monday, September 13, 2021",Jeopardy! Round
Tasty Business,BB is the stock symbol of this company that today is more into cybersecurity than devices,BlackBerry,,True,False,$400,False,23,Show #8466,"Monday, September 13, 2021",Jeopardy! Round
Somebody Wrote That,"Raymond K. Price Jr. wrote the first & last words of the Nixon presidency, his first inaugural address & this last public speech",his resignation,Matt Amodio,False,False,$400,False,19,Show #8466,"Monday, September 13, 2021",Jeopardy! Round
No Man,"Andrew Volstead gave a big ""no"" with the National this act, which enforced the 18th Amendment",Prohibition,Gabbie Kim,False,False,$400,False,22,Show #8466,"Monday, September 13, 2021",Jeopardy! Round
Is An Island,"Take in the beauty of Hanauma Bay on this island, also known for the totally awesome waves on its North Shore",Oahu,Amdé Mengistu,False,False,$400,False,20,Show #8466,"Monday, September 13, 2021",Jeopardy! Round
Sounds Like Tennis,The money you net from an investment,a return,,True,False,$600,False,18,Show #8466,"Monday, September 13, 2021",Jeopardy! Round
That'S Canadian Entertainment,"This Vancouver native lent his voice to the city's public transit in 2018; here's a sample:""Get those feet off the seat; my mom might be sitting there one day, come on""",Seth Rogen,,True,False,$600,False,16,Show #8466,"Monday, September 13, 2021",Jeopardy! Round
Tasty Business,Makes sense: BR Standard is a fashion line from this store,Banana Republic,,True,False,$600,False,17,Show #8466,"Monday, September 13, 2021",Jeopardy! Round
Somebody Wrote That,"""How Great"" is this beloved hymn that began as a Swedish poem by Carl Boberg & has been recorded by Carrie Underwood & Elvis","""How Great Thou Art""",Gabbie Kim,False,False,$600,False,9,Show #8466,"Monday, September 13, 2021",Jeopardy! Round
No Man,"On April 28, 1789 Fletcher Christian & crew said no to this captain's tough love, sending him off in a boat",(Captain) Bligh,Matt Amodio,False,False,$600,False,15,Show #8466,"Monday, September 13, 2021",Jeopardy! Round
Is An Island,One third of Earth's lava flow since 1500 is said to have come from volcanoes in this Atlantic island nation,Iceland,Matt Amodio,False,False,"$5,400",True,11,Show #8466,"Monday, September 13, 2021",Jeopardy! Round
Sounds Like Tennis,In blackjack it can have one of 2 different values,ace,Matt Amodio,False,False,$800,False,14,Show #8466,"Monday, September 13, 2021",Jeopardy! Round
That'S Canadian Entertainment,"Canadians starring on this sketch show included Eugene Levy, Catherine O'Hara & John Candy",SCTV (Second City TV),Matt Amodio,False,False,$800,False,10,Show #8466,"Monday, September 13, 2021",Jeopardy! Round
Tasty Business,"Named for a green sushi condiment, this company calls itself ""the world's hottest cloud storage""",Wasabi,Gabbie Kim,False,False,$800,False,5,Show #8466,"Monday, September 13, 2021",Jeopardy! Round
Somebody Wrote That,"Lynell George wrote the album notes for ""Otis Redding Live at"" this club on the Sunset Strip & won a Grammy for the effort",the Whisky a Go Go,,True,False,$800,False,6,Show #8466,"Monday, September 13, 2021",Jeopardy! Round
