Category,Clue,Correct Response,Answered Correctly,Triple Stumper,All Wrong Answers,Clue Value,Daily Double,Selection Order,Episode,Date First Aired,Round
Political Quotes,"""You won't have"" this man ""to kick around anymore, because, gentlemen, this is my last press conference.""",Richard Nixon,Peter Bedrossian,False,False,$100,False,1,Show #1376,"Monday, September 3, 1990",Jeopardy! Round
Food,"When he returned to Venice from the Far East, he introduced the idea of fruit flavored ices",Marco Polo,Peter Bedrossian,False,False,$100,False,13,Show #1376,"Monday, September 3, 1990",Jeopardy! Round
Children'S Literature,"She didn't start writing her ""Little House"" novels until she was in her 60s",Laura Ingalls Wilder,Michael Goldwitz,False,False,$100,False,26,Show #1376,"Monday, September 3, 1990",Jeopardy! Round
3-Letter Words,"A Tibetan ox, or to talk persistently",yak,Debra Winthrop,False,False,$100,False,12,Show #1376,"Monday, September 3, 1990",Jeopardy! Round
Psych 101,Carl Jung coined this term to describe an introspective person,introvert,Michael Goldwitz,False,False,$100,False,9,Show #1376,"Monday, September 3, 1990",Jeopardy! Round
Leftovers,His remains lie in the main entrance of the original Smithsonian building,(James) Smithson,Michael Goldwitz,False,False,$100,False,6,Show #1376,"Monday, September 3, 1990",Jeopardy! Round
Political Quotes,"On July 14, 1789 this French king wrote in his diary ""Nothing""",Louis XVI,Michael Goldwitz,False,False,$200,False,2,Show #1376,"Monday, September 3, 1990",Jeopardy! Round
Food,"Consisting of puff pastry layered with custard or cream, this pastry's fit for a French emperor",a Napoleon,Debra Winthrop,False,False,$200,False,19,Show #1376,"Monday, September 3, 1990",Jeopardy! Round
Children'S Literature,"This pampered ""Little Lord"" had beautiful curls & wore a lace collar",Little Lord Fauntleroy,Peter Bedrossian,False,False,$200,False,27,Show #1376,"Monday, September 3, 1990",Jeopardy! Round
3-Letter Words,"A dog with a short, flattened nose, or the short, flattened nose itself",pug,Debra Winthrop,False,False,$200,False,14,Show #1376,"Monday, September 3, 1990",Jeopardy! Round
Psych 101,The name Rorschach is indelibly associated with tests using these irregular shapes,inkblots,Michael Goldwitz,False,False,$200,False,18,Show #1376,"Monday, September 3, 1990",Jeopardy! Round
Leftovers,"Jakob Roggeveen discovered this South Pacific island 2 days after Good Friday, 1722",Easter Island,Peter Bedrossian,False,False,$200,False,7,Show #1376,"Monday, September 3, 1990",Jeopardy! Round
Political Quotes,"1 day before his assassination he remarked, ""I've looked over, & I've seen the promised land""",Martin Luther King (Jr.),Michael Goldwitz,False,False,$500,True,3,Show #1376,"Monday, September 3, 1990",Jeopardy! Round
Food,The USDA made Wolfgang Puck add tomato in order to sell his frozen pies as these,pizzas,Debra Winthrop,False,False,$300,False,20,Show #1376,"Monday, September 3, 1990",Jeopardy! Round
Children'S Literature,"Of Nancy Drew's chums Ned, Bess & George, the one who isn't a girl",Ned,Debra Winthrop,False,False,$300,False,28,Show #1376,"Monday, September 3, 1990",Jeopardy! Round
3-Letter Words,It can mean the daily record of a ship's progress or the act of recording that progress,log,Peter Bedrossian,False,False,$300,False,15,Show #1376,"Monday, September 3, 1990",Jeopardy! Round
Psych 101,"Psychological state that superficially resembles sleep, it was first used scientifically by Franz Mesmer",hypnotism (or hypnotic state),Peter Bedrossian,False,False,$300,False,23,Show #1376,"Monday, September 3, 1990",Jeopardy! Round
Leftovers,You place your hands & feet on colored circles to play this game; it's perfect for contortionists,Twister,Peter Bedrossian,False,False,$300,False,8,Show #1376,"Monday, September 3, 1990",Jeopardy! Round
Political Quotes,"Completes ""If the British Empire and its Commonwealth last for 1,000 years, men will still say...""",this was their finest hour,Michael Goldwitz,False,False,$400,False,4,Show #1376,"Monday, September 3, 1990",Jeopardy! Round
Food,They're immature pigeons sometimes raised for food,squabs,Peter Bedrossian,False,False,$400,False,21,Show #1376,"Monday, September 3, 1990",Jeopardy! Round
3-Letter Words,"It can precede brow, down or life",low,Peter Bedrossian,False,False,$400,False,16,Show #1376,"Monday, September 3, 1990",Jeopardy! Round
Psych 101,Machine that's commonly called a lie detector,a polygraph,Peter Bedrossian,False,False,$400,False,24,Show #1376,"Monday, September 3, 1990",Jeopardy! Round
Leftovers,"Picasso's daughter, her signature is on tubes of her signature lipstick, Mon Rouge",Paloma Picasso,Michael Goldwitz,False,False,$400,False,10,Show #1376,"Monday, September 3, 1990",Jeopardy! Round
Political Quotes,"In 1690 this English philosopher wrote, ""Wherever law ends, tyranny begins.""",John Locke,,True,False,$500,False,5,Show #1376,"Monday, September 3, 1990",Jeopardy! Round
