Category,Clue,Correct Response,Answered Correctly,Triple Stumper,All Wrong Answers,Clue Value,Daily Double,Selection Order,Episode,Date First Aired,Round
True Story,"John Hersey wrote about 6 survivors of an August 6, 1945 explosion in this title city",Hiroshima,Roland Lange,False,False,$100,False,3,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
Oscar-Winning Roles,Mary Poppins,Julie Andrews,Roland Lange,False,False,$100,False,1,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
They Have Hooves,One variety of the white-tailed species of this weighs only 50-75 pounds & lives in the Florida Keys,deer,Roland Lange,False,False,$100,False,18,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
Dances,"Technically, a bubble dance is done with these props, not bubbles",balloons,,True,False,$100,False,5,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
Balls,Mother & performer seen here in 1947,Lucille Ball,Anne Reynolds,False,False,$100,False,9,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
Rhyme Time,"Mus musculus, this grayish-brown rodent lives in or near domiciles",a house mouse,Roland Lange,False,False,$100,False,11,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
True Story,"In ""Duty First"", alum Ed Ruggero calls this military academy ""America's premier leadership school""",West Point,Anne Reynolds,False,False,$200,False,4,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
Oscar-Winning Roles,Rooster Cogburn,John Wayne,Hardy Watts,False,False,$200,False,2,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
They Have Hooves,This wild African pig has 2 pairs of tusks that may reach a length of 24 inches,the warthog,Roland Lange,False,False,$200,False,23,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
Dances,Back-bending dance that's neither heaven nor hell,the limbo,Anne Reynolds,False,False,$200,False,26,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
Balls,"Perhaps, in the future, you'll see one of these divinatory aids",a crystal ball,Hardy Watts,False,False,$200,False,10,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
Rhyme Time,Abbreviated term for the genre that includes Isaac Asimov & Ursula K. Le Guin,sci-fi,Anne Reynolds,False,False,$200,False,12,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
True Story,"Dr. Jerri Nielsen gives her account of discovering that she had breast cancer while ""ice bound"" here",the South Pole,Hardy Watts,False,False,$300,False,15,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
Oscar-Winning Roles,Loretta Lynn,Sissy Spacek,Roland Lange,False,False,$300,False,6,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
They Have Hooves,"Despite its large size, this wild ox of Tibet is quite agile & can swim swift rivers",the yak,Roland Lange,False,False,$300,False,24,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
Dances,A Carioca is a resident of Rio & also a ballroom version of this dance,the samba,,True,False,$300,False,30,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
Balls,We bet you know the balls seen here are used in this game of chance,the lottery,Hardy Watts,False,False,$300,False,13,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
Rhyme Time,Restaurateur Trader Vic created this rum & curacao cocktail,a mai tai,,False,False,$400,True,14,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
True Story,"This gonzo journalist tells the ""Strange and Terrible Saga"" of flying with angels--Hell's Angels",Hunter Thompson,Roland Lange,False,False,$400,False,16,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
Oscar-Winning Roles,U.S. Marshal Sam Gerard,Tommy Lee Jones,Roland Lange,False,False,$400,False,7,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
They Have Hooves,"It's estimated that fewer than 1,000 members of the Bactrian species of this exist in the world, all in Mongolia & China",the camel,Hardy Watts,False,False,$400,False,25,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
Dances,"It's a lively Spanish-American dance, or a ""Grim"" computer game from Lucas Arts",fandango,,True,False,$400,False,27,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
Balls,"Seen here, it's also an offensive term for someone's spouse",ball & chain,Anne Reynolds,False,False,$400,False,19,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
Rhyme Time,"The title of hits by Madonna & Tommy James & the Shondells, it's slang for naughty behavior",hanky panky,Hardy Watts,False,False,$400,False,21,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
True Story,"""Into Thin Air"" is his account of scaling Everest & the tragedy that befell others around him",Jon Krakauer,Hardy Watts,False,False,$500,False,17,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
Oscar-Winning Roles,Mexican cop Javier Rodriguez Rodriguez,Benicio Del Toro,Anne Reynolds,False,False,$500,False,8,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
They Have Hooves,"The soft, pliant leather from this cud-chewing goat is used as a polishing cloth & to make shirts",a chamois,Anne Reynolds,False,False,$500,False,29,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
Dances,"An old French dance from a German folk dance, or a square dance move",allemande,Anne Reynolds,False,False,$500,False,28,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
Balls,"Used in large group games, it's the worldly projectile seen here",an Earth ball,,True,False,$500,False,20,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
Rhyme Time,This hyphenated term means haphazard or disorganized,willy-nilly,Anne Reynolds,False,False,$500,False,22,Show #3906,"Monday, September 3, 2001",Jeopardy! Round
Tru Story,"Truman Capote was born on September 30, 1924 in this Southern city",New Orleans,,True,False,$200,False,26,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Tv Theme Songs,"""I'll be there for you when the rain starts to pour, I'll be there for you like I've been there before""",Friends,Anne Reynolds,False,False,$200,False,21,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Where Were You Last Night?,Dancing at Le Balajo on the Rue de Lappe,Paris,Hardy Watts,False,False,$200,False,11,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Flight,Accessories of the dashing WWII Spitfire pilot included a leather helmet & a white silk one of these,a scarf,Hardy Watts,False,False,$200,False,1,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Archbishops Of York,"Nicholas Heath, in office from 1555 to 1579, was the last archbishop of this faith",Catholicism,Roland Lange,False,False,$200,False,16,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Accenté,"An accent shows that this word means a summary of one's work experience, not ""to continue""",resumé,Anne Reynolds,False,False,$200,False,6,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Tru Story,This book about the murder of a farm family blurred the genres of literature & crime reportage,In Cold Blood,Anne Reynolds,False,False,$400,False,27,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Tv Theme Songs,"""Raised in the woods so's he knew every tree""",Davy Crockett,Roland Lange,False,False,$400,False,22,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Where Were You Last Night?,Just checking out the view from the top of the Mark Hopkins,San Francisco,Roland Lange,False,False,$400,False,12,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Flight,"The name of Vostok, the Soviets' first manned space flight program, means this direction",east,,True,False,$400,False,2,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Archbishops Of York,"The first Norman archbishop, in 1070, was Thomas of this French tapestry town",Bayeux,Anne Reynolds,False,False,$400,False,17,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Accenté,"It may be ""au lait""",café,Roland Lange,False,False,$400,False,7,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Tru Story,"This novella includes the line ""Holly Golightly had been a tenant in the old brownstone""",Breakfast at Tiffany\'s,Anne Reynolds,False,False,$600,False,28,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Tv Theme Songs,"""I've been searchin' my soul tonight, I know there's so much more to life""",Ally McBeal,Hardy Watts,False,False,$600,False,23,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Where Were You Last Night?,Singing karaoke in Shinjuku,Tokyo,Anne Reynolds,False,False,$600,False,13,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Flight,The map shown here illustrates the airline system of these central airports & spokes,hubs,Roland Lange,False,False,$600,False,3,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Archbishops Of York,"Early archbishops included Ethelbald, Egbert & this 8th c. one whose name combines parts of the other 2",Ethelbert,Hardy Watts,False,False,$600,False,18,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Accenté,"James Rogers' ""Dictionary of"" these includes ""on the horns of a dilemma"" & ""hook, line & sinker""",clichés,Roland Lange,False,False,"$1,500",True,8,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Tru Story,"""The Muses Are Heard"" is Truman's account of going to Moscow with the black cast of this Gershwin show",Porgy and Bess,Hardy Watts,False,False,$800,False,29,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Tv Theme Songs,"""You're not the boss of me now!  You're not the boss of me now!  You're not the boss of me now & you're not so big!""",Malcolm in the Middle,Anne Reynolds,False,False,$800,False,24,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Where Were You Last Night?,Down in Plaka listening to bouzouki music,Athens,Hardy Watts,False,False,$800,False,14,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Flight,"The hero of the first book by ""Little Prince"" author St.-Exupery is a pilot who delivers this",the mail,Hardy Watts,False,False,$800,False,4,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Archbishops Of York,"A half-brother of Richard the Lionheart, Archbishop Geoffrey was a fellow member of this royal house",Plantagenet,Anne Reynolds,False,False,$800,False,19,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Accenté,It's the basic ballet maneuver seen here,plié,Anne Reynolds,False,False,$800,False,9,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Tru Story,"In 1990 this ""Loved One"" actor won a Tony for his portrayal of Capote in the one-man show ""Tru""",Robert Morse,Roland Lange,False,False,$1000,False,30,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Tv Theme Songs,"In 1965: ""There's a man who leads a life of danger, to everyone he meets he stays a stranger""",Secret Agent,Anne Reynolds,False,False,$1000,False,25,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Where Were You Last Night?,Having steak gaucho-style at La Chacra,Buenos Aires,Anne Reynolds,False,False,$1000,False,15,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Flight,This Mach 3 plane was called the RS-71 until LBJ misread it in public & the name was changed,the Blackbird (or the SR-71),Hardy Watts,False,False,$1000,False,5,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Archbishops Of York,"As an adviser to Henry VIII, he was made Archbishop of York in 1514 & a cardinal in 1515",Thomas Wolsey,,False,False,"$1,500",True,20,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Accenté,"Accented term for a Cajun stew of crayfish, vegetables & seasonings over rice",étouffée,Roland Lange,False,False,$1000,False,10,Show #3906,"Monday, September 3, 2001",Double Jeopardy! Round
Viva Ann-Margret!,"This 1963 film features Ann-Margret's unforgettable rendition of the following""I'll miss the way you smile /As though it's just for me /And each and every night /I'll write you faithfully...""",Bye Bye Birdie,Anne Reynolds,False,False,$100,False,26,Show #3907,"Tuesday, September 4, 2001",Jeopardy! Round
More Power To You,2-word term for the job that takes you to homes to figure out how much people owe the power company,a meter reader,Carrie Pfeiffer,False,False,$100,False,21,Show #3907,"Tuesday, September 4, 2001",Jeopardy! Round
Smack Dab In The Middle,"In Park County, 30 miles northwest of Pike's Peak",Colorado,Bernard Pena,False,False,$100,False,8,Show #3907,"Tuesday, September 4, 2001",Jeopardy! Round
Fun With Opera,"In ""Johnny Strikes Up"", a violin performance at the North Pole inspires the whole world to do this 1920s dance",the Charleston,Bernard Pena,False,False,$100,False,1,Show #3907,"Tuesday, September 4, 2001",Jeopardy! Round
Reading,"Group name for all letters other than A, E, I, O & U",consonants,Carrie Pfeiffer,False,False,$100,False,2,Show #3907,"Tuesday, September 4, 2001",Jeopardy! Round
"Words To The ""Y""S","A female nickname, or a fall guy",a patsy,Bernard Pena,False,False,$100,False,16,Show #3907,"Tuesday, September 4, 2001",Jeopardy! Round
Viva Ann-Margret!,"On May 29, 1963 Ann-Margret sang at this famous man's 46th, & last, birthday party",John F. Kennedy,Carrie Pfeiffer,False,False,$200,False,27,Show #3907,"Tuesday, September 4, 2001",Jeopardy! Round
More Power To You,This type of plant seen here--controversial in the U.S.--provides about 3/4 of France's power,a nuclear power plant,Carrie Pfeiffer,False,False,$200,False,22,Show #3907,"Tuesday, September 4, 2001",Jeopardy! Round
Smack Dab In The Middle,"In Kent County, 11 miles south of Dover",Delaware,Carrie Pfeiffer,False,False,$200,False,9,Show #3907,"Tuesday, September 4, 2001",Jeopardy! Round
Fun With Opera,It was truly a red-letter day when an opera based on this Hawthorne novel premiered in Boston in 1896,The Scarlet Letter,Anne Reynolds,False,False,$200,False,4,Show #3907,"Tuesday, September 4, 2001",Jeopardy! Round
Reading,"From the Greek for ""sound"", these sounds represented by letters might get you ""hooked on"" them",phonics,Anne Reynolds,False,False,$200,False,3,Show #3907,"Tuesday, September 4, 2001",Jeopardy! Round
