Category,Clue,Correct Response,Answered Correctly,Triple Stumper,All Wrong Answers,Clue Value,Daily Double,Selection Order,Episode,Date First Aired,Round
Who'S Biblically Speaking?,"""I indeed baptize you with water; but one mightier than I cometh""",John the Baptist,Glenn Edwards,False,False,$200,False,1,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
Nobel Prize Categories By Winner,"Yitzhak Rabin,1994",Peace,Justin Sausville,False,False,$200,False,21,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
Americans In Paris,"Setting sail for the Paris Peace Conference in December 1918, he became the first sitting president to cross the Atlantic",Woodrow Wilson,Justin Sausville,False,False,$200,False,2,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
28 Is Great,"In September 1984 ""Jeopardy!"" began its run & P.W. Botha began a more modest 6 years as pres. of this country",South Africa,Glenn Edwards,False,False,$200,False,13,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
"From ""B"" To ""Y""",Chapter 7 of this federal code provides for liquidation,bankruptcy,Jane Stimpson,False,False,$200,False,7,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
Friends With Benefits,"Tim McGraw & Faith Hill spearheaded the 2010 concert called this Tennessee city ""Rising"", a benefit for flood victims",Nashville,Jane Stimpson,False,False,$200,False,26,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
Who'S Biblically Speaking?,"""Ye shall not surely die... ye shall be as gods, knowing good and evil""",the serpent,Justin Sausville,False,False,$400,False,3,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
Nobel Prize Categories By Winner,"Sir Alexander Fleming,1945",Medicine,Glenn Edwards,False,False,$400,False,22,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
Americans In Paris,"In 1855, when he was 21, he moved to Paris to study art; that painting of his mother would come later",Whistler,Glenn Edwards,False,False,$400,False,12,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
28 Is Great,This literary character spent 28 years marooned on a desert island,Robinson Crusoe,Glenn Edwards,False,False,$400,False,14,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
"From ""B"" To ""Y""","In a theater, the mezzanine is the lowest one",a balcony,Jane Stimpson,False,False,$400,False,8,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
Friends With Benefits,"Annie Lennox joined David Bowie & the surviving members of Queen on ""Under Pressure"" at a 1992 AIDS benefit & tribute to this man",Freddie Mercury,Jane Stimpson,False,False,$400,False,27,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
Who'S Biblically Speaking?,"""Art thou the king of the Jews?""",Pilate,Glenn Edwards,False,False,$600,False,4,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
Nobel Prize Categories By Winner,"Milton Friedman,1976",Economics,Jane Stimpson,False,False,$600,False,23,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
Americans In Paris,"Familiar with France from experimenting there, in 1779 he became our first ambassador to France",Benjamin Franklin,Justin Sausville,False,False,$600,False,16,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
28 Is Great,The Z28 Camaro is a classic muscle car from this automaker,Chevrolet,Justin Sausville,False,False,$600,False,15,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
"From ""B"" To ""Y""","All hail the grain of this plant, used in making beer",barley,Glenn Edwards,False,False,$600,False,9,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
Friends With Benefits,The Rolling Stones brought their pals to this Canadian city for a 2003 benefit to help it recover from a SARS outbreak,Toronto,Glenn Edwards,False,False,$600,False,28,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
Who'S Biblically Speaking?,"""Ye shall return unto the land of your possession, and enjoy it, which Moses... gave you on this side Jordan""",Joshua,,True,False,$800,False,5,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
Nobel Prize Categories By Winner,"Richard Feynman,1965",Physics,Justin Sausville,False,False,$800,False,24,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
Americans In Paris,"He was studying at the Sorbonne in Paris when he published ""The Naked and the Dead""",Norman Mailer,Justin Sausville,False,False,$800,False,17,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
28 Is Great,Seen here is one of the 28 hurdles that are part of this track event,the steeplechase,,True,False,$800,False,19,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
"From ""B"" To ""Y""","The temperature is so mild & pleasant, it's downright this 5-letter adjective",balmy,Glenn Edwards,False,False,$800,False,10,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
Friends With Benefits,"""My friend... told me that he wanted help before"" this country ""died"", George Harrison sang in 1971; he had a benefit for it",Bangladesh,Glenn Edwards,False,False,"$1,000",True,29,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
Who'S Biblically Speaking?,"""Hail, thou that art highly favoured, the Lord is with thee: blessed art thou among women""",Gabriel,Glenn Edwards,False,False,$1000,False,6,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
Nobel Prize Categories By Winner,"Dario Fo,1997",Literature,Glenn Edwards,False,False,$1000,False,25,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
Americans In Paris,"Sadly, this dancer's 2 children drowned in the Seine years before that scarf cut her own life short",Isadora Duncan,,True,False,$1000,False,18,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
28 Is Great,This great king succeeded his brother Ethelred in 871 & reigned in Wessex for 28 years,Alfred the Great,Justin Sausville,False,False,$1000,False,20,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
"From ""B"" To ""Y""",A tongue twister mentions rubber bumpers on this 2-word conveyance (both words fit the category),baby buggy,Justin Sausville,False,False,$1000,False,11,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
Friends With Benefits,Many rockin' friends have joined this guy with a heart of gold at his annual Bridge School Benefit,Neil Young,Jane Stimpson,False,False,$1000,False,30,Show #6206,"Monday, September 19, 2011",Jeopardy! Round
The Country He Ruled,Macbeth:1040 to 1057,Scotland,Jane Stimpson,False,False,$400,False,1,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
Word & Phrase Origins,"The origin of ""smart as"" this referred to the pain caused by its lash",a whip,Glenn Edwards,False,False,$400,False,16,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
It'S A Dogfight,"When a pilot dives & rolls & then pulls out in the opposite direction, the maneuver is called the split-this letter",S,Justin Sausville,False,False,$400,False,6,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
Film Alias,"Revealed in ""Goldmember"", the real name of this twin is Dougie Powers",Dr. Evil,,True,False,$400,False,22,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
Hispanic-American Firsts,He's the first labor leader & the first Hispanic American to be honored with a public legal holiday,(César) Chávez,Glenn Edwards,False,False,$400,False,21,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
Friends With Benefits,Steve is a big fan of this federal insurance program that began covering those over 65 back in '65,Medicare,Jane Stimpson,False,False,$400,False,11,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
The Country He Ruled,Haile Selassie:1930 to 1974,Ethiopia,Justin Sausville,False,False,$800,False,2,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
Word & Phrase Origins,"This phrase meaning ""to admit defeat"" comes from boxing, where a trainer does it to stop the fight",throw the towel in,Glenn Edwards,False,False,$800,False,17,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
It'S A Dogfight,In 1950 a U.S. F-80 shot down a Soviet-made MiG-15 in the first dogfight between 2 aircraft propelled by this engine,a jet,Glenn Edwards,False,False,$800,False,7,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
Film Alias,"Under this 1997 title alias, FBI agent Johnny Depp infiltrates the mob",Donnie Brasco,,True,False,$800,False,23,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
Hispanic-American Firsts,In 1982 Richard Cavazos became the first Hispanic American with this many stars as a full general in the army,4 stars,Justin Sausville,False,False,$800,False,24,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
Friends With Benefits,"Eric could use a new health plan; he's got a $50,000 this, the amount he pays out of pocket before insurance kicks in",a deductible,Justin Sausville,False,False,$800,False,12,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
The Country He Ruled,John III Sobieski:1674 to 1696,Poland,Justin Sausville,False,False,$1200,False,3,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
Word & Phrase Origins,"A Thomas Gray poem says, ""Where"" this ""is bliss, 'tis folly to be wise""",ignorance,Justin Sausville,False,False,$1200,False,18,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
It'S A Dogfight,"In an early dogfight, British ace Lanoe Hawker was outdueled & killed by this notorious German",the Red Baron,Jane Stimpson,False,False,$1200,False,8,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
Film Alias,"Prior to volunteering for experimental research, he was Steve Rogers; now we know him as this",Captain America,Glenn Edwards,False,False,$1200,False,28,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
Hispanic-American Firsts,In 1973 this late Pittsburgh Pirate became the first Hispanic American inducted into the Baseball Hall of Fame,(Roberto) Clemente,Glenn Edwards,False,False,$1200,False,25,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
Friends With Benefits,"Jennifer loves this as a type of trim on her clothes & as a type of benefit, like her free company gym",fringe benefits,Justin Sausville,False,False,$1200,False,13,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
The Country He Ruled,Umberto I:1878 to 1900,Italy,Glenn Edwards,False,False,$1600,False,4,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
Word & Phrase Origins,This 2-word term for first prize comes from what serves as the badge of Britain's Order of the Garter,blue ribbon,Jane Stimpson,False,False,$1600,False,19,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
It'S A Dogfight,WWI ace Oswald Boelcke advised attacking pilots to keep this behind them so as to interfere with an enemy's vision,the sun,Justin Sausville,False,False,$1600,False,9,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
Film Alias,Matt Damon as this title character murders Dickie Greenleaf & assumes his identity,Mr. Ripley,Jane Stimpson,False,False,$1600,False,29,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
Hispanic-American Firsts,This onetime husband of Rosemary Clooney was the first Hispanic American to win the Oscar for Best Actor,Jose Ferrer,,True,False,$1600,False,26,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
Friends With Benefits,"Matt's employer lets him choose among various benefits; it's this type of plan, like his favorite eating spot",a cafeteria plan,,False,False,"$4,000",True,14,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
The Country He Ruled,"Canute IV (& later ""the Holy""):1080 to 1086",Denmark,,True,False,$2000,False,5,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
Word & Phrase Origins,This type of victory in which the losses are ruinous is named for a cousin of Alexander the Great,a Pyrrhic victory,Jane Stimpson,False,False,"$3,600",True,20,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
It'S A Dogfight,"(Jimmy of the Clue Crew presents the clue on a monitor.)  The blue pilot sees the red plane at a position called 12 o'clock; after a tight overhead loop to attack, the red plane is now directly behind in the position called this time of day",6 o\'clock,Glenn Edwards,False,False,$2000,False,10,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
Film Alias,"In ""The Usual Suspects"", Verbal Kint might have been this killer",Keyser Söze,Jane Stimpson,False,False,$2000,False,30,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
Hispanic-American Firsts,In the 1990s he was the first Hispanic Secretary of Transportation & Secretary of Energy,Federico Peña,,True,False,$2000,False,27,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
Friends With Benefits,"Shh, don't tell!  Suzanne used her medical FSA, short for this, to pay for botox treatments",a flexible spending account,Justin Sausville,False,False,$2000,False,15,Show #6206,"Monday, September 19, 2011",Double Jeopardy! Round
Early Man,"(Sarah of the Clue Crew shows us a partial skull at the Smithsonian Hall of Human Origins.)  Ouranopithecus macedoniensis, a 9-million-year-old ape from Greece, is a candidate as the long sought-for common ancestor of African apes & humans, popularly but inaccurately known by this two-word term",the missing link,Ken Herrera,False,False,$200,False,6,Show #6207,"Tuesday, September 20, 2011",Jeopardy! Round
Tv Title Role Playing,"""Hannah Montana""",Miley Cyrus,Justin Sausville,False,False,$200,False,1,Show #6207,"Tuesday, September 20, 2011",Jeopardy! Round
Aging Gracefully,"Use lotion to protect your skin from these rays with wavelengths shorter than 4,000 angstroms",ultraviolet rays,Ken Herrera,False,False,$200,False,11,Show #6207,"Tuesday, September 20, 2011",Jeopardy! Round
Stately Rivers,"For some 2,300 miles, this ""Ol' Man River"" just keeps rollin' along",the Mississippi,Ken Herrera,False,False,$200,False,16,Show #6207,"Tuesday, September 20, 2011",Jeopardy! Round
Ways To Lose Money,"It rhymes with dwindle, & your money will dwindle if you fall for one",a swindle,Ken Herrera,False,False,$200,False,21,Show #6207,"Tuesday, September 20, 2011",Jeopardy! Round
One Vowel Only,A planet of our solar system,Mars,Justin Sausville,False,False,$200,False,26,Show #6207,"Tuesday, September 20, 2011",Jeopardy! Round
Early Man,"790,000-year-old flints from a site in Israel provide the oldest known evidence of early man's control of this",fire,Ken Herrera,False,False,$400,False,7,Show #6207,"Tuesday, September 20, 2011",Jeopardy! Round
Tv Title Role Playing,"(Adrian) ""Monk""",Tony Shalhoub,Justin Sausville,False,False,$400,False,2,Show #6207,"Tuesday, September 20, 2011",Jeopardy! Round
Aging Gracefully,"Remove dead cells from your skin via this method, from the Latin for ""to strip off leaves""",exfoliate,Alex Liteplo,False,False,$400,False,12,Show #6207,"Tuesday, September 20, 2011",Jeopardy! Round
