Category,Clue,Correct Response,Answered Correctly,Triple Stumper,All Wrong Answers,Clue Value,Daily Double,Selection Order,Episode,Date First Aired,Round
States' Former Capitals,Tuscaloosa,Alabama,Enrique Machado,False,False,$200,False,26,Show #5746,"Monday, September 14, 2009",Jeopardy! Round
Touchdown!,"On Jan. 10, 1982 Dwight Clark made ""The Catch"" of this QB's high throw & the 49ers were off to the Super Bowl",Joe Montana,Stefan Goodreau,False,False,$200,False,1,Show #5746,"Monday, September 14, 2009",Jeopardy! Round
Practical Parenting,Don't even think of taking your newborn home until you have a rear-facing one of these firmly in place,a car seat,Stefan Goodreau,False,False,$200,False,6,Show #5746,"Monday, September 14, 2009",Jeopardy! Round
Elemental Rhyme Time,Small vehicle with runners made from the element with the symbol Pb & used to travel on snow,a lead sled,Stefan Goodreau,False,False,$200,False,11,Show #5746,"Monday, September 14, 2009",Jeopardy! Round
Stupid Answers,It's the hall where the Declaration of Independence was signed,Independence Hall,Elisabeth Flynn,False,False,$200,False,16,Show #5746,"Monday, September 14, 2009",Jeopardy! Round
More Than One Meaning,"It can mean your intellect, your intelligence, your seat of consciousness; it can also mean to watch the kids",mind,Stefan Goodreau,False,False,$200,False,22,Show #5746,"Monday, September 14, 2009",Jeopardy! Round
States' Former Capitals,Murfreesboro,Tennessee,Stefan Goodreau,False,False,$400,False,27,Show #5746,"Monday, September 14, 2009",Jeopardy! Round
Touchdown!,"Known as ""The Kansas Comet"", this Chicago Bear scored 22 TDs as a rookie & was immortalized in ""Brian's Song""",Gale Sayers,,True,False,$400,False,2,Show #5746,"Monday, September 14, 2009",Jeopardy! Round
Practical Parenting,"parenting.org says, ""You can criticize a child's"" this ""but never criticize the child""",behavior,Elisabeth Flynn,False,False,$400,False,7,Show #5746,"Monday, September 14, 2009",Jeopardy! Round
Elemental Rhyme Time,A Trotsky noble gas,Leon neon,Stefan Goodreau,False,False,$400,False,12,Show #5746,"Monday, September 14, 2009",Jeopardy! Round
Stupid Answers,"The powerful Italian leader Mussolini was called ""Il Duce"", which means this",the leader,Stefan Goodreau,False,False,$400,False,17,Show #5746,"Monday, September 14, 2009",Jeopardy! Round
More Than One Meaning,"To scrape slightly, or to feed in a field",graze,Stefan Goodreau,False,False,$400,False,24,Show #5746,"Monday, September 14, 2009",Jeopardy! Round
States' Former Capitals,Augusta,Georgia,Enrique Machado,False,False,$600,False,28,Show #5746,"Monday, September 14, 2009",Jeopardy! Round
Touchdown!,"On Nov. 20, 1982 Cal's Kevin Moen scored the winning TD while running through (& into) this rival university's band",Stanford,Enrique Machado,False,False,$600,False,3,Show #5746,"Monday, September 14, 2009",Jeopardy! Round
Practical Parenting,"When your teen starts dating, set some rules like this prescribed time to be home, maybe midnight",curfew,Stefan Goodreau,False,False,$600,False,8,Show #5746,"Monday, September 14, 2009",Jeopardy! Round
Elemental Rhyme Time,Auric growth of fungi,gold mold,Stefan Goodreau,False,False,$600,False,13,Show #5746,"Monday, September 14, 2009",Jeopardy! Round
Stupid Answers,This tributary of the Oka River flows past the city of Moscow,the Moscow River,Stefan Goodreau,False,False,$600,False,18,Show #5746,"Monday, September 14, 2009",Jeopardy! Round
More Than One Meaning,"Pertaining to the body, or a noncomissioned army officer",corporal,Stefan Goodreau,False,False,"$3,000",True,23,Show #5746,"Monday, September 14, 2009",Jeopardy! Round
States' Former Capitals,Poughkeepsie,New York,Elisabeth Flynn,False,False,$800,False,29,Show #5746,"Monday, September 14, 2009",Jeopardy! Round
Touchdown!,"Before he became one of ""The Dirty Dozen"", this Cleveland running back hit pay dirt 126 times",Jim Brown,Enrique Machado,False,False,$800,False,4,Show #5746,"Monday, September 14, 2009",Jeopardy! Round
Practical Parenting,"Start saving for college now with this website, launched in 2001--it rewards you for shopping with partner companies",Upromise,,True,False,$800,False,9,Show #5746,"Monday, September 14, 2009",Jeopardy! Round
Elemental Rhyme Time,A person looking to purchase the metal with the symbol Cu,a copper shopper,Enrique Machado,False,False,$800,False,14,Show #5746,"Monday, September 14, 2009",Jeopardy! Round
Stupid Answers,1844 was a good year for him; he received a patent for his vulcanized rubber process,Goodyear,Stefan Goodreau,False,False,$800,False,19,Show #5746,"Monday, September 14, 2009",Jeopardy! Round
More Than One Meaning,It's a conundrum for sure; it can also mean to pierce with bullet holes,riddle,Enrique Machado,False,False,$800,False,21,Show #5746,"Monday, September 14, 2009",Jeopardy! Round
States' Former Capitals,Newport,Rhode Island,Enrique Machado,False,False,$1000,False,30,Show #5746,"Monday, September 14, 2009",Jeopardy! Round
