Category,Clue,Correct Response,Answered Correctly,Triple Stumper,All Wrong Answers,Clue Value,Daily Double,Selection Order,Episode,Date First Aired,Round
London Landmarks,The last monarch crowned in this church was Elizabeth II,Westminster Abbey,Cathy Glassman,False,False,$100,False,9,Show #2526,"Monday, September 4, 1995",Jeopardy! Round
The Emmys,"A 1960 Emmy for drama writing went to this creator of the ""Twilight Zone""",Rod Serling,Isaac Segal,False,False,$100,False,2,Show #2526,"Monday, September 4, 1995",Jeopardy! Round
Food Facts,The early Romans used it as an ointment; we use it on toast & baked potatoes,butter,Isaac Segal,False,False,$100,False,10,Show #2526,"Monday, September 4, 1995",Jeopardy! Round
American History,He organized the corps of men who photographed the Civil War; poor eyesight limited his work,Mathew Brady,Cathy Glassman,False,False,$100,False,1,Show #2526,"Monday, September 4, 1995",Jeopardy! Round
Plumbing,"When joining copper water pipes, use solder free of this heavy metal once commonly used in plumbing",lead,Mark Temares,False,False,$100,False,25,Show #2526,"Monday, September 4, 1995",Jeopardy! Round
The Olympics,Russian city where Nadia Comaneci  competed in her second Olympics,Moscow,Isaac Segal,False,False,$100,False,18,Show #2526,"Monday, September 4, 1995",Jeopardy! Round
London Landmarks,St. Helen's Bishopsgate is one of the few churches that survived this 1666 event,the Great Fire of London,Cathy Glassman,False,False,$200,False,11,Show #2526,"Monday, September 4, 1995",Jeopardy! Round
The Emmys,In 1990 & 1991 this Fox show was named the outstanding animated prime-time series,The Simpsons,Mark Temares,False,False,$200,False,5,Show #2526,"Monday, September 4, 1995",Jeopardy! Round
Food Facts,"The brittle of peanut brittle includes sugar, water, baking soda & this syrup",corn syrup,Mark Temares,False,False,$200,False,15,Show #2526,"Monday, September 4, 1995",Jeopardy! Round
American History,"Elizabeth Gurley Flynn, a founder of the ACLU, was expelled in 1940 for being a member of this party",Communist Party,Isaac Segal,False,False,$200,False,3,Show #2526,"Monday, September 4, 1995",Jeopardy! Round
Plumbing,"Of 20, 200 or 2000 gallons, the amount of water used by the average American household each day",200,Cathy Glassman,False,False,$200,False,27,Show #2526,"Monday, September 4, 1995",Jeopardy! Round
The Olympics,"Nicknamed ""Sir Charles"", he was part of the gold-medal-winning 1992 U.S. ""Dream Team""",Charles Barkley,Isaac Segal,False,False,$200,False,19,Show #2526,"Monday, September 4, 1995",Jeopardy! Round
London Landmarks,"Some of these are Battersea, Regent's & Hyde",parks,Cathy Glassman,False,False,$300,False,12,Show #2526,"Monday, September 4, 1995",Jeopardy! Round
