Category,Clue,Correct Response,Answered Correctly,Triple Stumper,All Wrong Answers,Clue Value,Daily Double,Selection Order,Episode,Date First Aired,Round
Presidential Trivia,"At various times, he & all 5 of his brothers were nicknamed ""Ike""",Dwight Eisenhower,Susan Blum,False,False,$100,False,1,Show #261,"Monday, September 9, 1985",Jeopardy! Round
Dogs In Literature,Sherlock Holmes novel about a devilish dog,The Hound of the Baskervilles,Steve Bowie,False,False,$100,False,15,Show #261,"Monday, September 9, 1985",Jeopardy! Round
Foreign Cuisine,"No matter how you slice it, it's ""brot"" in Germany",bread,,True,False,$100,False,7,Show #261,"Monday, September 9, 1985",Jeopardy! Round
Cartoons,The appropriately named Pepe Le Pew is this animal,a skunk,Susan Blum,False,False,$100,False,6,Show #261,"Monday, September 9, 1985",Jeopardy! Round
Alphabetically First,"Alphabetically 1st of the days of the week, it's usually last of the work week",Friday,Alan Lefkowitz,False,False,$100,False,19,Show #261,"Monday, September 9, 1985",Jeopardy! Round
Presidential Trivia,Springtime ritual started by Pres. Hayes on the White House lawn,the Easter Egg Roll,Susan Blum,False,False,$200,False,2,Show #261,"Monday, September 9, 1985",Jeopardy! Round
Dogs In Literature,He knocked over the screen concealing the Wizard of Oz,Toto,Susan Blum,False,False,$200,False,16,Show #261,"Monday, September 9, 1985",Jeopardy! Round
Foreign Cuisine,"From the Latin meaning ""to serve"", it's the soup that starts an Italian meal",minestrone,,True,False,$200,False,8,Show #261,"Monday, September 9, 1985",Jeopardy! Round
Cartoons,"This super hero was originally called ""Super Mouse""",Mighty Mouse,Steve Bowie,False,False,$200,False,10,Show #261,"Monday, September 9, 1985",Jeopardy! Round
Presidential Trivia,"For the presidential portraits, Gilbert Stuart stuffed his sunken cheeks with cotton",George Washington,Steve Bowie,False,False,$300,False,3,Show #261,"Monday, September 9, 1985",Jeopardy! Round
Dogs In Literature,"In this book, Nick Charles' Asta is a schnauzer, but in films was played by a wire-haired terrier",The Thin Man,Alan Lefkowitz,False,False,$300,False,20,Show #261,"Monday, September 9, 1985",Jeopardy! Round
Foreign Cuisine,"Cookie from northern France made of sugar, egg white, & almonds, it got its name from Italian for macaroni",a macaroon,Alan Lefkowitz,False,False,$300,False,9,Show #261,"Monday, September 9, 1985",Jeopardy! Round
Cartoons,Name of George of the Jungle's pet ape,Ape,,True,False,$300,False,11,Show #261,"Monday, September 9, 1985",Jeopardy! Round
Presidential Trivia,"President who preferred Chopin's waltzes to this, his musical ""trademark"":",Harry S. Truman,Steve Bowie,False,False,$500,True,4,Show #261,"Monday, September 9, 1985",Jeopardy! Round
Dogs In Literature,"Garryowen is the ""bloody mangy mongrel"" in the ""Cylops"" episode of this James Joyce novel",Ulysses,Susan Blum,False,False,$400,False,21,Show #261,"Monday, September 9, 1985",Jeopardy! Round
Foreign Cuisine,"The distinctive starchy ingredient in Chinese dishes with ""mein"" in the name",noodles,Alan Lefkowitz,False,False,$400,False,14,Show #261,"Monday, September 9, 1985",Jeopardy! Round
Cartoons,"Though he never married, Paramount's Popeye had this many ""nephews"" who all looked just like him",4,Steve Bowie,False,False,$400,False,12,Show #261,"Monday, September 9, 1985",Jeopardy! Round
Alphabetically First,"Alphabetically 1st of the planets, it can be seen without a telescope",Earth,Alan Lefkowitz,False,False,$400,False,22,Show #261,"Monday, September 9, 1985",Jeopardy! Round
Presidential Trivia,"In 1908, 5 years before getting the job, he wrote a book titled ""The President of the United States""",Woodrow Wilson,Steve Bowie,False,False,$500,False,5,Show #261,"Monday, September 9, 1985",Jeopardy! Round
Foreign Cuisine,"Tropical fruit called ""the fruit of India"", it's the main ingredient in a popular chutney",mango,,True,False,$500,False,17,Show #261,"Monday, September 9, 1985",Jeopardy! Round
Cartoons,"Helen Kane sued Max Fleischer, claiming this character's name & voice were copied from her",Betty Boop,Susan Blum,False,False,$500,False,13,Show #261,"Monday, September 9, 1985",Jeopardy! Round
Alphabetically First,"Alphabetically the 1st signer of the Declaration of Independence, he's also 1st alphabetically of presidents",John Adams,Alan Lefkowitz,False,False,$500,False,18,Show #261,"Monday, September 9, 1985",Jeopardy! Round
Fashion Designers,"His ""signature"" is an elegantly scripted YSL",Yves Saint Laurent,Susan Blum,False,False,$200,False,19,Show #261,"Monday, September 9, 1985",Double Jeopardy! Round
The Renaissance,"The term ""renaissance"" is from a French word meaning this",rebirth,Steve Bowie,False,False,$200,False,26,Show #261,"Monday, September 9, 1985",Double Jeopardy! Round
4-Letter Words,"A Marine Corps camp, or appropriate footwear for one",boot,Susan Blum,False,False,$200,False,23,Show #261,"Monday, September 9, 1985",Double Jeopardy! Round
