Category,Clue,Correct Response,Answered Correctly,Triple Stumper,All Wrong Answers,Clue Value,Daily Double,Selection Order,Episode,Date First Aired,Round
Labor,"This notice that consumers are encouraged to ""look for"" goes back to California carpenters in 1869",The Union Label,David Bagley,False,False,$100,False,23,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
The Boss,"Bruce Springsteen was born in 1949 in Freehold, near Asbury Park, in this state",New Jersey,Kathy Donegan,False,False,$100,False,18,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
"""Young"" People","Amen to this leader whose statue represents Utah in Washington, D.C.'s Statuary Hall",Brigham Young,Kathy Donegan,False,False,$100,False,2,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
U.S. At War,"War during which ""Gremlin"", ""Snafu"" & ""Kilroy Was Here"" were popularized",World War II,Kathy Donegan,False,False,$100,False,1,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
The 1998 Pulitzer Prizes,"39 years after ""Goodbye, Columbus"", this author won for his novel ""American Pastoral""",Philip Roth,Brannon Denning,False,False,$100,False,8,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
Common Bonds,"A bee,a con man,a sharp blow",Things that sting,Kathy Donegan,False,False,$100,False,16,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
Labor,"Abbreviated WGA, it provides many services to members, including script registration",Writers Guild of America,David Bagley,False,False,$200,False,24,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
The Boss,This longtime backup group was named for the address of the original keyboardist's mother,The E Street Band,Kathy Donegan,False,False,$200,False,20,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
"""Young"" People","On ""Father Knows Best"" he played dad to Betty, Bud & Kathy",Robert Young,David Bagley,False,False,$200,False,3,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
U.S. At War,"On September 14, 1847 U.S. troops raised the U.S. flag in this capital's Zocalo, or grand plaza",Mexico City,David Bagley,False,False,$200,False,4,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
The 1998 Pulitzer Prizes,"This newspaper was shut out, but its ex-chairperson Katherine Graham won for her autobiography",The Washington Post,David Bagley,False,False,$200,False,9,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
Common Bonds,"Larks,crickets,informers",Things that sing,Brannon Denning,False,False,$200,False,17,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
Labor,"When he was killed in 1968, he was planning a march of striking Memphis sanitation workers",Dr. Martin Luther King Jr.,Kathy Donegan,False,False,$300,False,25,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
The Boss,This singer became Bruce's wife in 1991,Patti Scialfa,Brannon Denning,False,False,$300,False,26,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
"""Young"" People","Of the 906 Major League Baseball games that he pitched, he won more than half; he deserves an award",Cy Young,David Bagley,False,False,$300,False,13,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
U.S. At War,"The Confederates bought a French-built ironclad & named it this, the nickname of General Jackson","""Stonewall""",David Bagley,False,False,$300,False,5,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
The 1998 Pulitzer Prizes,"The history winner was about this 1925 event ""And America's...debate over science and religion""",Scopes Monkey Trial,Brannon Denning,False,False,$300,False,10,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
Common Bonds,"A prisoner,a trap,a leak",Things that are sprung,Brannon Denning,False,False,$300,False,19,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
Labor,"It's the F in AFL-CIO as well as in the Stallone film ""F.I.S.T.""",Federation,David Bagley,False,False,$400,False,27,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
The Boss,"The Boss turned down $12 million from Chrysler to use this ""All-American"" song in ads","""Born In The U.S.A.""",Kathy Donegan,False,False,"$1,000",True,29,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
"""Young"" People","In 1992 he released ""Harvest Moon"", a sequel to his ""Harvest"" album from 1972",Neil Young,Kathy Donegan,False,False,$400,False,14,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
U.S. At War,The Battle of the Little Big Horn was part of the Sioux Wars that also included the massacre here in 1890,Wounded Knee,David Bagley,False,False,$400,False,6,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
The 1998 Pulitzer Prizes,"The prizewinning play ""How I Learned to Drive"" was inspired by Nabokov's novel about this girl","""Lolita""",Kathy Donegan,False,False,$400,False,11,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
Common Bonds,"Benny Goodman,Ken Griffey Jr.,Tom Dooley",People who swing,,True,False,$400,False,21,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
Labor,A strike by this union shut down UPS for 15 days in 1997,The Teamsters,Kathy Donegan,False,False,$500,False,28,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
"""Young"" People","In a revealing memoir, Judy Lewis claims to be the ""love child"" of Clark Gable & this actress",Loretta Young,David Bagley,False,False,$500,False,15,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
U.S. At War,Mark Twain was among those who opposed the U.S. acquiring these Pacific islands from Spain in 1898,The Philippines,Brannon Denning,False,False,$500,False,7,Show #3216,"Monday, September 7, 1998",Jeopardy! Round
